,mall_name1,address1,lon1,lat1,mall_name2,address2,lon2,lat2,distance
0,武商世贸广场,解放大道686号,114.2689,30.5802,武商广场,解放大道688号,114.27,30.5802,105.30267150491512
1,武商世贸广场,解放大道686号,114.2689,30.5802,武广,解放大道668号国广7楼,114.2697,30.5806,88.56262270736704
2,武汉国际广场购物中心,武商路356号,114.2711,30.5801,武汉国际广场,汉口区解放大道557号,114.2711,30.5797,44.477970658273414
3,武汉国际广场购物中心,武商路356号,114.2711,30.5801,武商广场,解放大道688号,114.27,30.5802,105.88818243643627
4,武汉国际广场购物中心,武商路356号,114.2711,30.5801,武广,解放大道668号国广7楼,114.2697,30.5806,145.09585373417426
5,HAPPY站台美食购物广场,中山大道818号佳丽广场B1楼,114.2917,30.5794,王府井百货,中山大道858号,114.2914,30.5793,30.796645811398847
6,HAPPY站台美食购物广场,中山大道818号佳丽广场B1楼,114.2917,30.5794,大汉口城,中山大道539号,114.2904,30.5792,126.42118872716593
7,新佳丽时尚广场,中山大道818号,114.2903,30.5785,大洋百货,民生路176号,114.2901,30.5776,101.89050874202663
8,新佳丽时尚广场,中山大道818号,114.2903,30.5785,王府井百货,中山大道858号,114.2914,30.5793,137.84813914860902
9,新佳丽时尚广场,中山大道818号,114.2903,30.5785,大汉口城,中山大道539号,114.2904,30.5792,78.42293700059311
10,群光广场,珞喻路6号,114.3554,30.5252,银泰创意城,珞喻路35号,114.3558,30.5263,128.17461246935827
11,万达百货,沙湖大道18号,114.3383,30.5565,万达广场,沙湖大道18号,114.3383,30.5564,11.119492663861031
12,武汉国际广场,汉口区解放大道557号,114.2711,30.5797,武商广场,解放大道688号,114.27,30.5802,119.07891390290048
13,中百百货,和平大道1544号,114.4026,30.6393,青山百货商场,和平大道1542号,114.4028,30.6392,22.130598644049456
14,悦心汇,光谷一期风情街下沉广场负一楼,114.4025,30.5051,大洋百货,光谷街3号,114.4016,30.5058,116.15908200627938
15,悦心汇,光谷一期风情街下沉广场负一楼,114.4025,30.5051,世界城光谷步行街一期,珞喻路光谷广场,114.4026,30.5052,14.67741943772827
16,新世界百货,江汉路118号,114.2899,30.5824,中百百货,江汉路129号,114.2897,30.5819,58.80161742631779
17,新世界百货,江汉路118号,114.2899,30.5824,一食万巷,江汉一路58号,114.2907,30.5817,109.19414536659201
18,新世界百货,江汉路118号,114.2899,30.5824,中心百货大楼,江汉路129号中百商厦,114.2899,30.5819,55.597463322134445
19,中百百货,江汉路129号,114.2897,30.5819,一食万巷,江汉一路58号,114.2907,30.5817,98.27739177719549
20,中百百货,江汉路129号,114.2897,30.5819,中心百货大楼,江汉路129号中百商厦,114.2899,30.5819,19.145604573867274
21,武商广场,解放大道688号,114.27,30.5802,武广,解放大道668号国广7楼,114.2697,30.5806,52.94395420055336
22,王府井百货,中山大道858号,114.2914,30.5793,大汉口城,中山大道539号,114.2904,30.5792,96.37426223381841
23,大洋百货,光谷街3号,114.4016,30.5058,世界城光谷步行街一期,珞喻路光谷广场,114.4026,30.5052,116.74518650918031
24,泛海城市广场二期Joy Park悦街,云彩路196号,114.2553,30.6029,泛海城市广场,云杉路199号,114.2554,30.6029,9.570728149247255
25,一食万巷,江汉一路58号,114.2907,30.5817,中心百货大楼,江汉路129号中百商厦,114.2899,30.5819,79.74616830113179
